date,year,month,day,adj_close
9/11/13,2013,9,11,63.623581
9/12/13,2013,9,12,64.301026
9/13/13,2013,9,13,63.241331
9/16/13,2013,9,16,61.230778
9/17/13,2013,9,17,61.938147
9/18/13,2013,9,18,63.211407
9/19/13,2013,9,19,64.24797
9/20/13,2013,9,20,63.582774
9/23/13,2013,9,23,66.742802
9/24/13,2013,9,24,66.533311
9/25/13,2013,9,25,65.503548
9/26/13,2013,9,26,66.141537
9/27/13,2013,9,27,65.669508
9/30/13,2013,9,30,64.853311
10/1/13,2013,10,1,66.378235
10/2/13,2013,10,2,66.595884
10/3/13,2013,10,3,65.759287
10/4/13,2013,10,4,65.707598
10/7/13,2013,10,7,66.349669
10/8/13,2013,10,8,65.423286
10/9/13,2013,10,9,66.191868
10/10/13,2013,10,10,66.606767
10/11/13,2013,10,11,67.037989
10/14/13,2013,10,14,67.477371
10/15/13,2013,10,15,67.836496
10/16/13,2013,10,16,68.167056
10/17/13,2013,10,17,68.628203
10/18/13,2013,10,18,69.225385
10/21/13,2013,10,21,70.92171
10/22/13,2013,10,22,70.719019
10/23/13,2013,10,23,71.411422
10/24/13,2013,10,24,72.356847
10/25/13,2013,10,25,71.547458
10/28/13,2013,10,28,72.080701
10/29/13,2013,10,29,70.28508
10/30/13,2013,10,30,71.403264
10/31/13,2013,10,31,71.103986
11/1/13,2013,11,1,70.740785
11/4/13,2013,11,4,71.65492
11/5/13,2013,11,5,71.478078
11/6/13,2013,11,6,71.275573
11/7/13,2013,11,7,70.122128
11/8/13,2013,11,8,71.226314
11/11/13,2013,11,11,71.019707
11/12/13,2013,11,12,71.151056
11/13/13,2013,11,13,71.235894
11/14/13,2013,11,14,72.266196
11/15/13,2013,11,15,71.832456
11/18/13,2013,11,18,70.962235
11/19/13,2013,11,19,71.088118
11/20/13,2013,11,20,70.465557
11/21/13,2013,11,21,71.305671
11/22/13,2013,11,22,71.122324
11/25/13,2013,11,25,71.661421
11/26/13,2013,11,26,72.98316
11/27/13,2013,11,27,74.701702
11/29/13,2013,11,29,76.085013
12/2/13,2013,12,2,75.42278
12/3/13,2013,12,3,77.487484
12/4/13,2013,12,4,77.306876
12/5/13,2013,12,5,77.703671
12/6/13,2013,12,6,76.625477
12/9/13,2013,12,9,77.502537
12/10/13,2013,12,10,77.382127
12/11/13,2013,12,11,76.808824
12/12/13,2013,12,12,76.696628
12/13/13,2013,12,13,75.86062
12/16/13,2013,12,16,76.280681
12/17/13,2013,12,17,75.937244
12/18/13,2013,12,18,75.359835
12/19/13,2013,12,19,74.496461
12/20/13,2013,12,20,75.120389
12/23/13,2013,12,23,78.003322
12/24/13,2013,12,24,77.672198
12/26/13,2013,12,26,77.156368
12/27/13,2013,12,27,76.635056
12/30/13,2013,12,30,75.872933
12/31/13,2013,12,31,76.762306
1/2/14,2014,1,2,75.682745
1/3/14,2014,1,3,74.020309
1/6/14,2014,1,6,74.423944
1/7/14,2014,1,7,73.891693
1/8/14,2014,1,8,74.359639
1/9/14,2014,1,9,73.410061
1/10/14,2014,1,10,72.920222
1/13/14,2014,1,13,73.301971
1/14/14,2014,1,14,74.76054
1/15/14,2014,1,15,76.261521
1/16/14,2014,1,16,75.835994
1/17/14,2014,1,17,73.97789
1/21/14,2014,1,21,75.127229
1/22/14,2014,1,22,75.461085
1/23/14,2014,1,23,76.100066
1/24/14,2014,1,24,74.716755
1/27/14,2014,1,27,75.322897
1/28/14,2014,1,28,69.302532
1/29/14,2014,1,29,68.515783
1/30/14,2014,1,30,68.38306
1/31/14,2014,1,31,68.495256
2/3/14,2014,2,3,68.622506
2/4/14,2014,2,4,69.61587
2/5/14,2014,2,5,70.135807
2/6/14,2014,2,6,70.544607
2/7/14,2014,2,7,71.531523
2/10/14,2014,2,10,72.813003
2/11/14,2014,2,11,73.772389
2/12/14,2014,2,12,73.766883
2/13/14,2014,2,13,74.938244
2/14/14,2014,2,14,74.877686
2/18/14,2014,2,18,75.152975
2/19/14,2014,2,19,73.966471
2/20/14,2014,2,20,73.110316
2/21/14,2014,2,21,72.298208
2/24/14,2014,2,24,72.614796
2/25/14,2014,2,25,71.859123
2/26/14,2014,2,26,71.210811
2/27/14,2014,2,27,72.631314
2/28/14,2014,2,28,72.434475
3/3/14,2014,3,3,72.643701
3/4/14,2014,3,4,73.122703
3/5/14,2014,3,5,73.276869
3/6/14,2014,3,6,73.055257
3/7/14,2014,3,7,73.012591
3/10/14,2014,3,10,73.078655
3/11/14,2014,3,11,73.790281
3/12/14,2014,3,12,73.861858
3/13/14,2014,3,13,73.041495
3/14/14,2014,3,14,72.221125
3/17/14,2014,3,17,72.503303
3/18/14,2014,3,18,73.144726
3/19/14,2014,3,19,73.125459
3/20/14,2014,3,20,72.773086
3/21/14,2014,3,21,73.347064
3/24/14,2014,3,24,74.216988
3/25/14,2014,3,25,75.015327
3/26/14,2014,3,26,74.298195
3/27/14,2014,3,27,73.978858
3/28/14,2014,3,28,73.896269
3/31/14,2014,3,31,73.879751
4/1/14,2014,4,1,74.555592
4/2/14,2014,4,2,74.679472
4/3/14,2014,4,3,74.161928
4/4/14,2014,4,4,73.202542
4/7/14,2014,4,7,72.053198
4/8/14,2014,4,8,72.049074
4/9/14,2014,4,9,72.996073
4/10/14,2014,4,10,72.05458
4/11/14,2014,4,11,71.521893
4/14/14,2014,4,14,71.806813
4/15/14,2014,4,15,71.294775
4/16/14,2014,4,16,71.439304
4/17/14,2014,4,17,72.255543
4/21/14,2014,4,21,73.113073
4/22/14,2014,4,22,73.186025
4/23/14,2014,4,23,72.229388
4/24/14,2014,4,24,78.150889
4/25/14,2014,4,25,78.724867
4/28/14,2014,4,28,81.773717
4/29/14,2014,4,29,81.531455
4/30/14,2014,4,30,81.22313
5/1/14,2014,5,1,81.414463
5/2/14,2014,5,2,81.565873
5/5/14,2014,5,5,82.719334
5/6/14,2014,5,6,81.817764
5/7/14,2014,5,7,81.531455
5/8/14,2014,5,8,81.386125
5/9/14,2014,5,9,81.047012
5/12/14,2014,5,12,82.05605
5/13/14,2014,5,13,82.184776
5/14/14,2014,5,14,82.199996
5/15/14,2014,5,15,81.501005
5/16/14,2014,5,16,82.703828
5/19/14,2014,5,19,83.6838
5/20/14,2014,5,20,83.70041
5/21/14,2014,5,21,83.92187
5/22/14,2014,5,22,84.054744
5/23/14,2014,5,23,85.004268
5/27/14,2014,5,27,86.596033
5/28/14,2014,5,28,86.371801
5/29/14,2014,5,29,87.945567
5/30/14,2014,5,30,87.616145
6/2/14,2014,6,2,87.014043
6/3/14,2014,6,3,88.244541
6/4/14,2014,6,4,89.252197
6/5/14,2014,6,5,89.602383
6/6/14,2014,6,6,89.356011
6/9/14,2014,6,9,90.785823
6/10/14,2014,6,10,91.318721
6/11/14,2014,6,11,90.940851
6/12/14,2014,6,12,89.41968
6/13/14,2014,6,13,88.44109
6/16/14,2014,6,16,89.332475
6/17/14,2014,6,17,89.216212
6/18/14,2014,6,18,89.3131
6/19/14,2014,6,19,89.003053
6/20/14,2014,6,20,88.082602
6/23/14,2014,6,23,88.005088
6/24/14,2014,6,24,87.472191
6/25/14,2014,6,25,87.549705
6/26/14,2014,6,26,88.072911
6/27/14,2014,6,27,89.119323
6/30/14,2014,6,30,90.039774
7/1/14,2014,7,1,90.611421
7/2/14,2014,7,2,90.572672
7/3/14,2014,7,3,91.105562
7/7/14,2014,7,7,92.985228
7/8/14,2014,7,8,92.384508
7/9/14,2014,7,9,92.423265
7/10/14,2014,7,10,92.084152
7/11/14,2014,7,11,92.258554
7/14/14,2014,7,14,93.450295
7/15/14,2014,7,15,92.355442
7/16/14,2014,7,16,91.832236
7/17/14,2014,7,17,90.194794
